agency,description,name,price
Keller Williams Realty East Valley,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,661'}",348 W Buena Vista Drive Parke Tempe,"$735,000"
My Home Group Real Estate,"{'Beds': '6', 'Baths': '3', 'Sq.Ft.': '3,800'}",1145 E Acacia Circle Litchfield Park Sub 19,"$1,400,000"
New Perspective Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,454'}",5628 S Compass Road West Lake Amd,"$729,000"
West Usa Realty,"{'Beds': '8', 'Baths': '6', 'Sq.Ft.': '5,563'}",3510 N Mansfield Drive Litchfield Farms 2,"$1,400,000"
Homesmart,"{'Beds': '5', 'Baths': '2', 'Sq.Ft.': '3,033'}",1831 E La Jolla Drive Mcclintock Manor,"$729,000"
Realty One Group,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,642'}",14786 W Escondido Place Village At Litchfield Park Phase 2,"$1,399,000"
"Scottsdale Sierra, Inc.","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,982'}",341 E La Diosa Drive Broadmor Manor 3,"$729,000"
Homesmart,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,416'}",1072 N Oro Vista Litchfield Park Subdivision No. 18,"$1,399,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,449'}",1893 E Bendix Drive Camelot Village,"$727,600"
50 States Realty,"{'Beds': '6', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,526'}",4807 N 199th Avenue Metes And Bounds,"$1,350,000"
Realty One Group,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,694'}",18654 W Solano Drive Cottonwood Estates,"$1,350,000"
Homesmart,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,407'}",5519 N 128th Drive Litchfield Vista Views 2,"$1,250,000"
Redfin Corporation,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,052'}",5205 W Winston Drive Estrella Mountain View Amd,"$1,425,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,560'}",4820 N Greentree Drive Litchfield Greens Lot 1-282 Tr 1-6,"$1,225,000"
"Lockit Realty, Llc","{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,258'}",5224 W Siesta Way Dobbins Ranch Amd,"$949,990"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,307'}",12713 W Montebello Avenue Litchfield Vista Views 2,"$1,200,000"
Exp Realty,"{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,214'}",4310 W Ceton Drive Unknown,"$949,900"
Exp Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,000'}",3141 W Baseline Road Youngs Acres,"$894,990"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,691'}",2935 W Latona Road No Hoa - 1 Acre Lot - Paved Road - Irrigated - Horses Ok,"$849,500"
Morgan Taylor Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,446'}",10540 S 32nd Drive Metes & Bounds,"$848,000"
Redfin Corporation,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,978'}",7905 S 32nd Drive Youngs Acres,"$799,900"
Schreiner Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,583'}",4330 W Ceton Drive None,"$759,900"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,460'}",9845 S 31st Avenue Unknown,"$759,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,676'}",5238 W Piedmont Drive Laveen Estates Unit 2,"$747,000"
Best Homes Real Estate,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,480'}",3137 W Baseline Road Youngs Acres,"$715,000"
A.Z. & Associates,"{'Beds': '6', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,591'}",5322 W Euclid Avenue Laveen Commons,"$715,000"
Retsy,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '9,333'}",7150 N 40th Street #11 Crown Canyon,"$15,900,000"
Launch Powered By Compass,"{'Beds': '6', 'Baths': '12', 'Sq.Ft.': '12,935'}",5575 N Casa Blanca Drive Metes And Bounds,"$15,750,000"
Realty One Group,"{'Beds': '6', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '8,800'}",5815 N Palo Cristi Road Palo Cristi Estates,"$15,400,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '7', 'Sq.Ft.': '10,656'}",6044 N 44th Place Sanctuary,"$14,900,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '8,507'}",6126 E Joshua Tree Lane Egyptian Hills,"$14,000,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '7,500'}",6515 E Bluebird Lane Tbd,"$14,000,000"
The Noble Agency,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,691'}",5540 N Casa Blanca Drive Cameldale Estates,"$14,000,000"
America One Luxury Real Estate,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,495'}",3197 E San Miguel Avenue Alta Vista Park,"$5,250,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '9,301'}",8601 N 59th Place Equestrian Trails,"$13,500,000"
"Venture Rei, Llc","{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '5,238'}",4625 E Exeter Boulevard Lafayette Villa 5,"$5,199,999"
Retsy,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '8,320'}",7236 N 40th Street #8 Crown Canyon,"$12,900,000"
Karen J Baer,"{'Beds': '8', 'Baths': '7 F 1 1/2', 'Sq.Ft.': '9,000'}",94 Biltmore Estate Biltmore Estates,"$4,900,000"
Retsy,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '7,113'}",5109 E Rovey Avenue Hacienda Terrace,"$12,250,000"
Launch Powered By Compass,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '8,200'}",6528 N 60th Street Paradise Home Estates,"$12,000,000"
"Venture Rei, Llc","{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '5,064'}",4602 E Arcadia Lane Del Ray Estates 15,"$4,899,999"
Launch Powered By Compass,"{'Beds': '6', 'Baths': '9', 'Sq.Ft.': '11,739'}",7533 N 70th Street N/A,"$12,000,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,670'}",4030 E Colter Street Cudia City Estates,"$4,795,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '5,393'}",4958 E Grandview Lane Red Rock North,"$4,749,000"
America One Luxury Real Estate,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '5,745'}",2415 E Lincoln Circle Indian Hills 4,"$4,495,000"
Homelogic Real Estate,"{'Beds': '2', 'Baths': '5', 'Sq.Ft.': '10,560'}",2001 N 1st Avenue Chateau On Central,"$4,490,000"
Keller Williams Realty Sonoran Living,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '5,911'}",3135 N 53rd Place Grove Park Estate,"$4,000,000"
Shawn Bellamak Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,000'}",6150 N 20th Street Tonka Vista Lot 1-19,"$4,000,000"
Retsy,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,118'}",3815 E Elm Street Kenwood Estates,"$3,995,000"
Realty One Group,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,705'}",45239 N 16th Street Custom Home,"$749,999"
North&co.,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,915'}",7230 N Central Avenue Orangewood Lot 20 Block 5,"$3,975,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,496'}",47706 N 24th Lane Metes And Bounds,"$715,000"
Delex Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,666'}",44004 N 50th Lane Anthem Unit 81B,"$699,900"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,762'}",44013 N Parker Court Arroyo Norte Unit 5 6 And 7 Replat,"$698,500"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,432'}",4540 W Powell Drive Anthem West Unit 2,"$689,999"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,128'}",4939 W Magellan Drive Anthem Unit 81C,"$675,000"
Az Flat Fee,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,707'}",4624 W Heyerdahl Court Anthem West Unit 2,"$675,000"
"Congress Realty, Inc.","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,992'}",43039 N 18th Street None,"$656,000"
Century 21 Northwest,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,887'}",48019 N 15th Avenue N/A,"$650,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,679'}",48425 N 13th Avenue N/A,"$645,000"
Mountain Lake Realty,"{'Beds': '6', 'Baths': '3', 'Sq.Ft.': '3,155'}",42909 N 46th Avenue Anthem,"$635,000"
"Home Centric Real Estate, Llc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,017'}",2876 Caribou Trail Aztec Pines Unit 2,"$338,000"
RE/MAX Desert Showcase,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,356'}",3831 W Lanham Drive Arroyo Norte Unit 5 6 And 7 Replat,"$614,000"
Signature Premier Realty Llc,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '469'}",2888 Dale Road Buckskin Mobile Homesites,"$187,000"
"Real Broker Az, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,125'}",2282 Lindbergh Road Mogollon Air Park,"$459,990"
Diane Dahlin's Pine Rim Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,208'}",1911 Twin Pines Trail Timberlake Pines Pinewoods Unit 2,"$539,000"
Diane Dahlin's Pine Rim Realty,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '1,125'}",2150 Wildflower Road Buckskin Acres Unit 3,"$245,000"
Diane Dahlin's Pine Rim Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '841'}",3416 Lodge Road Aripine,"$200,000"
Keller Williams Realty Phoenix,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,470'}",5731 E Calle Mexico East Guadalupe,"$399,500"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,652'}",2073 Thousand Pines Drive Timberlake Pines 1,"$300,000"
Exzel Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,150'}",8047 S Calle Bella Vista Solares Add,"$320,000"
Planet Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '806'}",5437 E Calle Encinas Sonorita Mcr,"$220,000"
Delex Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '802'}",1975 Little Doe Trail Timberlake Pines-Pinewoods #3 Lot 26,"$286,900"
Diane Dahlin's Pine Rim Realty,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '574'}",2711 Hooks Way Overgaard Unsubdivided,"$240,000"
Richmond American Homes,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,500'}",22335 N Daniel Drive Rancho El Dorado Phase Iii Parcel 43/48,"$599,995"
Desert Mountain Realty,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '988'}",313 W Hartford Road Kearny Subdivision No 1,"$200,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,106'}",2770 Chandelle Lane Mogollon Estates,"$670,000"
Richmond American Homes,"{'Beds': '5', 'Baths': '2', 'Sq.Ft.': '3,030'}",40384 W Wade Drive Rancho El Dorado Phase Iii Parcel 52,"$599,995"
Desert Mountain Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,040'}",428 W Jamestown Road Kearny Subdivision No 3,"$164,900"
Diane Dahlin's Pine Rim Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,080'}",2735 Canyon Ridge Road Unsubdivided,"$359,900"
Homesmart,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,432'}",45269 W Jack Rabbit Trail Alterra North,"$599,000"
Desert Mountain Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,294'}",327 W Fairhaven Road Kearny Subdivision No 1,"$139,900"
Homesmart,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '825'}",2178 Rainbow Trail Zane Grey Mobile Home Estates Unit 1,"$274,000"
Emg Real Estate,"{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,598'}",20358 N Valencia Drive Tortosa Nw Parcel 9,"$599,000"
Exp Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '840'}",216 W Hartford Road #17 Kearny Subdivision No 6,"$55,000"
Rhouse Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,954'}",22154 N Balboa Drive Rancho El Dorado,"$599,000"
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,044'}",52570 W Cardinal Road Hidden Valley Estates Unit 9,"$590,000"
"Kd Realty, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,214'}",54446 W Quail Run Road Rural-Non Subdivision,"$589,900"
Richmond American Homes,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,100'}",40339 W Michaels Drive Rancho El Dorado Phase Iii Parcel 54,"$579,983"
Rhouse Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,293'}",41823 W Sussex Drive Glennwilde,"$579,400"
Realty One Group,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,267'}",20807 N Grantham Road Parcel 24 At Homestead North,"$579,000"
"Delex Realty, Llc 001","{'Beds': '4', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '2,280'}",26442 N Feather Mountain Rd S19 T18n R2w,"$459,900"
Richmond American Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,820'}",40392 W Desert Fairways Drive Rancho El Dorado Phase Iii Parcel 43/48,"$572,410"
Clark Realty Homes And Land,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,352'}",24925 N Sunset St Sunset Mobile Sites & Santa Fe Industrial Sites,"$310,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,780'}",40771 W Little Drive Rancho El Dorado Phase Iii Parcel 39/51,"$569,900"
Rent Right,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,207'}",805 W Little Ranch Rd Sunshine Acres,"$1,160,061"
Red White & Blue Realty,"{'Beds': '2', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,142'}",24832 Az-89  ,"$429,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,378'}",100 W Dove Dr Antelope Lakes Unit 3,"$299,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,441'}",412 W Baja Rd Holiday Lake Estates,"$199,999"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,456'}",25899 N Champagne Ln Wineglass Acres Unit #2,"$380,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,566'}",27360 W Miracle Ln  ,"$389,900"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,566'}",27360 W Miracle Ln  ,"$349,900"
Irealty Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,065'}",3233 W Sandstone Dr  ,"$310,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,537'}",1200 Big Chino Rd  ,"$289,000"
Fsr Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,406'}",1454 E Sweet Grass Dr.  ,"$489,000"
Exp Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,837'}",3308 E Kenwood Street Estates At 32Nd Street,"$2,250,000"
West Usa Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '5,500'}",634 E Bates Street N/A,"$2,200,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,387'}",3518 E Kenwood Street Hermosa Groves South,"$2,150,000"
Luna Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,474'}",4317 N Deserts Gate Hidden Canyon At Las Sendas,"$2,100,000"
Top Rock Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,917'}",3447 E Kenwood Street Hermosa Groves South,"$1,988,000"
"Call Realty, Inc.","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,850'}",8415 E Regina Circle Granite Mountain At Las Sendas,"$1,950,000"
Hague Partners,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '5,148'}",3821 N Rowen Circle Las Sendas,"$1,950,000"
Delex Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,506'}",2224 N 83rd Circle Hermosa Estates,"$1,788,000"
Kor Properties,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '8,079'}",6446 E Trailridge Circle #29 Sky Mountain Estates,"$1,785,000"
Perkinson Properties Llc,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,661'}",8323 E Regina Circle Private,"$1,725,000"
Keller Williams Arizona Realty,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '4,914'}",2351 N Channing Hermosa Estates,"$1,690,000"
Keller Williams Realty East Valley,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,988'}",3950 E Mclellan Road #15 Crossroads Estates,"$1,675,000"
"Kooiman Realty, Llc","{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,026'}",17150 E Apricot Ln Spring Valley,"$179,900"
Iannelli And Associates,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,530'}",12370 E Jacobs Rd  ,"$285,000"
Bear Creek Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,276'}",20186 E Saguaro Dr Cordes Lakes Unit #1,"$350,000"
Exp Realty Llc-Main,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,400'}",20556 E Cactus Wren Dr Cordes Lakes Unit #8,"$157,700"
My Home Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '841'}",20671 E Mingus Dr Cordes Lakes Unit #8,"$220,000"
Berkshire Hathaway Homeservices Prescott,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,107'}",12871 E Central Ave Segner Sub,"$225,000"
The Shelly Watne Group,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,379'}",20049 E Pinto Dr Cordes Lakes Unit #6,"$379,900"
RE/MAX Desert Showcase,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,120'}",14182 S Spring Ln Spring Valley,"$245,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2 F 1 3/4', 'Sq.Ft.': '1,568'}",20171 E Mingus Dr Cordes Lakes Unit #8,"$315,000"
Code Of The West Realty,"{'Beds': '4', 'Baths': '2 3/4', 'Sq.Ft.': '1,317'}",20924 E Butterfield Rd Cordes Lakes Unit #5,"$222,000"
RE/MAX Excalibur,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,389'}",15330 E Upper Ridge Ln Bensch Ranch,"$575,000"
West Usa Realty Of Prescott,"{'Beds': '2', 'Baths': '1 F 1 3/4 1 1/2', 'Sq.Ft.': '2,138'}",10433 E Poland Rd  ,"$850,000"
Realty One Group,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,501'}",16564 W Pinchot Avenue Pebblecreek Phase 2 Unit 48,"$1,599,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,549'}",16827 W Lower Buckeye Road Metes And Bounds,"$1,550,000"
Realty One Group,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,134'}",16779 W Holly Street Pebblecreek Phase 2 Unit 54,"$1,365,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,549'}",16827 W Lower Buckeye Road Metes And Bounds,"$1,300,000"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,518'}",17696 W Paseo Way Estrella Parcel 76,"$1,188,000"
Phx Pro Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,900'}",2729 N 168th Avenue Pebblecreek Phase 2 Unit 60,"$1,097,000"
Realty One Group,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,810'}",3183 N 159th Avenue Pebblecreek Phase 2 Unit 26,"$1,089,000"
Realty One Group,"{'Beds': '8', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,932'}",7702 N Alsup Road Meets & Bounds,"$1,200,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}",16779 W Fairmount Avenue Pebblecreek Phase 2 Unit 47A,"$1,030,791"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,498'}",6821 N Sarival Avenue Rural,"$1,000,000"
West Usa Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,871'}",11134 S Quinn Drive Estrella Parcel 58,"$998,000"
Homesmart,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,339'}",25937 W Ravina Lane N/A,"$695,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,511'}",1099 N Oro Vista Litchfield Park Subdivision No. 18,"$999,999"
Trelora Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,160'}",16808 W Fairmount Avenue Pebblecreek Phase 2 Unit 47A,"$995,000"
Western Az Ranch & Real Estate Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,870'}",40342 N 253rd Avenue Unknown,"$1,199,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,514'}",18025 W Denton Avenue Russell Ranch Phase 1,"$977,000"
The Offer Company,"{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,109'}",18372 W Monterosa Street Sedella Parcel 4B,"$968,000"
Tinzie Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,188'}",25221 W Saddle Mountain Road Love Those Horses!,"$335,000"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,539'}",765 N Villa Nueva Drive Litchfield Park Subdivision No. 12 Unit 1,"$959,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}",16800 W Fairmount Avenue Pebblecreek Phase 2 Unit 47A,"$961,429"
Homesmart,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,440'}",23629 N 47th Avenue Saddleback Meadows Unit 7,"$3,100,000"
Jpar Vantage,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '695'}",41238 N 260th Avenue Na,"$164,900"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,864'}",431 E Wigwam Boulevard Litchfield Park Subdivision 4B,"$930,000"
Griggs's Group Powered By The Altman Brothers,"{'Beds': '6', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '6,756'}",23825 N 63rd Drive Softwind Estates,"$2,850,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,004'}",41644 N 277th Avenue None,"$450,000"
RE/MAX Professionals,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,869'}",4905 N Greentree Drive Litchfield Greens Lot 1-282 Tr 1-6,"$900,000"
Elexsis Caliskan,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '5,322'}",21648 N 55th Drive Arrowhead Lakes,"$2,500,000"
"Keller Williams, Professional Partners","{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,311'}",14861 W Aldea Drive Village At Litchfield Park Phase 2,"$899,900"
"Gkr Properties, Llc","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,601'}",23429 N 65th Avenue Nonsubd,"$2,449,000"
David Weekley Homes,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,147'}",20179 W San Juan Avenue Canyon Views Phase 3 Unit 2,"$888,701"
David Weekley Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,829'}",19947 W Luke Avenue Canyon Views Phase 3 Unit 1 Replat,"$884,280"
"Delex Realty, Llc","{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,945'}",5136 W Soft Wind Drive Saddleback Estates 1,"$2,249,990"
David Weekley Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,450'}",19954 W Luke Avenue Canyon Views Phase 3 Unit 1 Replat,"$874,679"
West Usa Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,574'}",10823 N 59th Avenue Metes & Bounds,"$1,670,000"
David Weekley Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,283'}",19971 W Luke Avenue Canyon Views Phase 3 Unit 1 Replat,"$857,811"
Century 21 Toma Partners,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,700'}",17251 N 61st Avenue Urban Non Sub,"$1,649,000"
RE/MAX Excalibur,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,883'}",21633 N 61st Avenue Arrowhead,"$1,500,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,683'}",6997 W Firebird Drive Sierra Verde Parcel C,"$1,460,000"
Century 21 Toma Partners,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,042'}",21062 N 76th Avenue Reserve At Eagle Heights,"$1,450,000"
Century 21 Toma Partners,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,626'}",5648 W Arrowhead Lakes Drive Arrowhead Lakes 1 Replat Lt 1-204 A-H J-N P-R,"$1,350,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,911'}",6041 W Lone Cactus Drive Arrowhead Ranch/ Aguila Del Sol /Custom/Golf Course/Culdesac!,"$1,335,000"
