agency,description,name,price
Legacy Sedona Llc,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '4,400'}",144 Fay Canyon Road The Retreat At Seven Canyons,"$3,950,000"
Realty One Group,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,872'}",12121 W Planada Lane Rancho Silverado Unit 1,"$539,900"
Exp Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '2,995'}",1 Sky Ridge Court Sky Ridge Estates,"$3,594,000"
Second Mile Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,067'}",9917 W Cameo Drive Sun City 19,"$539,900"
RE/MAX Sedona,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '3,893'}",20 Jasper Court Las Lomas,"$3,475,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,386'}",10544 W Prairie Hills Circle Sun City Unit 21,"$539,000"
Legacy Sedona Llc,"{'Beds': '3', 'Baths': '5', 'Sq.Ft.': '3,828'}",487 Loy Lane Sedona Ranch On Oak Creek,"$3,150,000"
Realty One Group Mountain Desert,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '3,516'}",57 Peak Point Court Mystic Heights,"$2,770,000"
4 Sons Realty E.S.V.C. Llc,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,053'}",232 S Avenue B Original Townsite Of San Manuel,"$185,000"
Realty One Group,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '864'}",142 W 6th Avenue Original Townsite Of San Manuel,"$152,500"
Nexthome Complete Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,544'}",110 S Avenue A San Manuel Townsites,"$129,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,434'}",24412 S Berrybrook Drive Sun Lakes Unit 43,"$895,000"
"Cactus Mountain Properties, Llc","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,456'}",23601 S Desert Dance Court Sun Lakes Unit Thirty-Four,"$849,000"
Dpr Realty Llc,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,792'}",23808 S Stoney Lake Drive Sun Lakes Unit 45A,"$825,000"
RE/MAX Solutions,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,460'}",10125 E Cedar Waxwing Drive Sun Lakes,"$799,000"
"Cactus Mountain Properties, Llc","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,846'}",9421 E Sunridge Drive #40A Sun Lakes Unit Forty A,"$764,499"
Realty One Group,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,166'}",10222 E Arrowvale Drive Sun Lakes Unit Forty-Four A,"$749,000"
Realty Marketing Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,846'}",23820 S Bronze Drive Sun Lakes Unit 36C,"$710,000"
Realty One Group,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,558'}",9004 E Nacoma Drive Sun Lakes Unit Thirty-Six A,"$675,000"
Bushnell Real Estate Solutions,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,318'}",26007 S Cedarcrest Drive Sun Lakes Unit 16,"$645,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,579'}",9333 E Cedar Waxwing Drive Sun Lakes Unit Thirty-Two Phase 1,"$630,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,491'}",10421 E Cedar Waxwing Court Sun Lakes,"$624,900"
Realty One Group,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,543'}",17413 E Hidden Green Court Trilogy At Verde River,"$2,245,000"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,823'}",10318 E Twilight Court Sun Lakes Unit 18,"$599,990"
Century 21 Arizona West,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,352'}",66890 Prose Lane Keller Retirement Community 6,"$320,000"
Realty One Group,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,920'}",17450 E Hunter Drive Trilogy At Verde River,"$1,950,000"
Century 21 Americana,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '784'}",66824 Ola Street Keller Retirement Community Unit 6,"$189,000"
Long River Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,024'}","39794/780 Idaho Way Multiple Parcels, To Be Provided By Title","$160,000"
Homesmart Lifestyles,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,481'}",39701 N Country Lane Sun Valley Farms,"$2,390,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,342'}",17409 E Monument Court Trilogy At Verde River,"$1,850,000"
Homesmart Lifestyles,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,861'}",39667 N Country Lane Sun Valley Farms,"$1,749,000"
Realty One Group,"{'Beds': '3', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,444'}",26441 N Trails End Rio Verde Unit Six Lot 491 Replat,"$1,800,000"
Mahoney Properties,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,200'}",185 W Marilyn Way Country Mini-Farms Amd,"$1,450,000"
Limitless Real Estate,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,470'}",28714 N Verde River Way Verde River Unit 1 Replat,"$1,799,777"
Momentum Brokers Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,331'}",7839 W Dove Roost Road Santan Ranches Unit 3,"$1,399,900"
Sonoran Properties Associates,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,946'}",17938 E Vista Desierto Trilogy At Verde River,"$1,700,000"
Better Homes & Gardens Real Estate Sj Fowler,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,977'}",1531 W Ocotillo Road Unknown,"$1,300,000"
Tonto Verde Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,278'}",27801 N Lucero Drive Tonto Verde Unit Four Corr,"$1,695,000"
Exp Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,750'}",43352 N Kenworthy Road Queen Creek Suburban Ranches,"$1,300,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,004'}",28219 N Needle Rock Court Trilogy At Verde River,"$1,600,000"
Realty One Group,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,173'}","1500 E Verde Boulevard Shea Homes At Johnson Farms, Neighborhood 3 201209","$1,270,000"
Tonto Verde Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,711'}",18613 E Adobe Circle Tonto Verde,"$1,595,000"
The Agency,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,731'}","36869 N Stoneware Drive Encanterra Shea Homes At Johnson Farms, Neighborhood 7A 20121","$1,250,000"
Tonto Verde Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,038'}",18304 E Tonto Verde Drive Tonto Verde Unit Four Corr,"$1,550,000"
Urban Luxe Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,342'}",1100 E Copper Hollow Encanterra,"$1,200,000"
Realty One Group,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,200'}",16912 E Desert Vista Trail Metes & Bounds,"$1,499,900"
